,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
265,Lord Stanley,Figurative,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=84,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cf251f140dfc9988f3a00522641f8981,Stanley Park,This memorial statue of Lord Stanley was erected to honour the dedication of Stanley Park.,1960,"49.297258, -123.135223"
266,Harding Memorial Sculpture,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=87,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a9fe707797e6751895dfe3345935cedd,Stanley Park,"Two figures with shields and two eagles stand on a small plaza with a wall behind and three stairs in front.  A relief of Harding's profile is in the centre of the wall.  The piece commemorates Harding's 1923 visit to Vancouver, the first US president to visit Canada. He died on his return to the U.S.",1925,"49.298277, -123.136105"
267,Shakespeare Monument and Garden,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=88,,Stanley Park,,1935,"49.299971, -123.136238"
268,Chief Skedans Mortuary Pole,Totem pole,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=93,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/90139c65d64a47d4722d9b6562bf539d,Stanley Park,"A replica of a Haida mortuary pole originally raised in Skedans prior to 1878 and moved to Vancouver in 1936 for Vancouver's golden jubilee. This version by Bill Reid was carved on the site in Stanley Park in 1964 with the help of Don Yeomans and German carver Werner True. At the top of the pole is the Moon with a Thunderbird face, the a mountain goat with cloven hooves and a Grizzly Bear at the bottom which holds a Seal. (Stewart, Totem Poles, 1990)",1964,"49.299161, -123.120781"
269,Untitled (Lions: pair),Sculpture,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=101,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a185cd9d5c197ee78a7fe5ae56f88950,Stanley Park,,1939,"49.311866, -123.141931"
270,Knife Edge Two Piece,Sculpture,In place,33rd & Cambie Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=106,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b6fd2aa06f4f9ef2f1d94626c2a614dd,,The two large abstract forms are cast in bronze.,1969,"49.241656, -123.11338"
271,The Crab,Sculpture,In place,1100 Chestnut Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=108,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2625b0207751aaf9e5dbacd993c29a47,Kitsilano,"The 20' high, stainless steel fountain sculpture is made of many separate parts in the shape of a crab.  It is sited in front of the Vancouver Museum/Planetarium.",1968,"49.276076, -123.144503"
272,Resurgence,Mural,No longer in place,1066 West Hastings Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=143,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b34220c227f20d671a0f8d23f8d8f88e,Downtown,A dark and highly detailed cast aluminum wall relief in which the central figure stands for human inspiration and creativity.,1977,"49.287363, -123.118872"
273,Untitled (bronze relief),Relief,No longer in place,900 West Hastings Street (Downtown),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=145,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/35882e762c2ada99258afad78e7e90a2,,,1968,"49.286461, -123.116279"
274,Jubilee Fountain,Memorial or monument,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=158,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/4462d36c6a4dad5a59bb8807dace6fdd,Stanley Park,This fountain has a Heritage Monument designation. It was installed to celebrate Vancouver's 50th birthday - the Golden Jubilee - in 1936.,1936,"49.295666, -123.138349"
276,Marker of Change,Site-integrated work,In place,Main Street & Terminal,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=165,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f055679e2b17749c3364a2c16a4fe891,Strathcona,"The monument consists of a 100' diameter circle of 14 pink granite benches each 5.5' long with a slight bowl in the top.  Each bench is inscribed with the name of one of the 14 women killed by a gunman on December 6th, 1989, at the l'Ecole Polytechnique, University of Montreal.  The benches are about the length and width of a woman's body and the depression in the center of each bench catches rain water, a reference to tears. A 98' diameter circle outside the benches is set w/ 500 7½"" square tiles with the names of donors.
The circle is situated close to the center of the park and makes reference to ancient stone circles. The space inside the circle is slightly domed and covered with grass. An alter-like podium stands just outside the circles and bears the name of the piece and an inscription. Over time, Marker of Change has quietly asserted itself into the consciousness of the community and has become a site for individual reflection and meditation as well as a place of discovery.",1997,"49.27429, -123.09923"
277,The Builders,Sculpture,In place,Burrard & Dunsmuir Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=170,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5432d9ea7e04b737a3d9739689b4f9c8,Downtown,"A black granite sculpture made of three blocks. It is the artist's impression of a person in prayer using simple, strong forms.",1986,"49.285633, -123.120121"
278,Vessel,Sculpture,In place,Burrard & Dunsmuir Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=171,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d85a3798ed34a29765068605622570e6,Downtown,The sculpture is made of abstract geometric forms and constructed to suggest a ship. It sits on the grass outside the downtown skytrain station.,1986,"49.285603, -123.120043"
279,Inukshuk,Sculpture,In place,Bidwell and shoreline walk,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=172,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c75ca4af54353db17ba518c3994421cb,West End,"Built of stacked granite blocks in a human form, Inukshuks are symbols of welcome in the north.  This one weighs 31,500 kg. It is built of gigantic rocks and stands 6 meters high.",1986,"49.284323, -123.143704"
280,Fountain of the Pioneers,Fountain or water feature,In place,500 Burrard Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=173,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5d33a23037b5b3f196c9dfd9d426bc55,Downtown,Water splashes down two levels of this abstract rounded form and into the pool below. The sculpture is the centre piece of the long rectangular pool in front of the Bentall towers.,1969,"49.286242, -123.11782"
281,Symbols of the Cuneiforms,Sculpture,In place,750 Burrard Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=175,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0f965866911e91600959e5aa54b04dff,Downtown,This artwork is a delicate metal relief with plexiglas inserts.  The white sections are lighted at night. It is mounted on the exterior northwest corner of the building at Burrard and Robson (formerly the Vancouver Public Library). The piece was saved when the building was renovated from the old library.,1960,"49.283618, -123.12202"
282,Untitled (Fisherman's Credit Union Building),Relief,In place,803 East Hastings Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=183,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/808fd44460b099617762ed836d918f9b,Strathcona,,1968,"49.281382, -123.08681"
283,Untitled [Saint Marguerite D'Youville],Mural,In place,4950 Heather Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=184,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f31f89101d2d1b7a39aa7376417a5ffd,South Cambie,,1969,"49.240446, -123.119912"
284,Horizons,Sculpture,In place,888 S.E. Marine Drive,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=188,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/fc77aa1806946fd5a6d04db5b766e8b3,Sunset,Three geometric hard-edge  forms of corten steel reach away from each other to narrow points. The sculpture weighs 7000 lbs. The surface weathers to a dark blue.,1970,"49.210433, -123.087875"
285,Developing Form,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=190,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/bf7bcee0d549b7e82d7932b350a200ad,Shaughnessy,A square marble block with rounded organic forms emerging from top.,1975,"49.239068, -123.134604"
286,Travertine Sculpture 75,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=194,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/76a52ca84c99c85e8f3de8d3a38a7b53,Shaughnessy,A large marble abstract carving that involves two ovoid forms coming out of two rectangular forms and both coming together in the middle.,1975,"49.240287, -123.130676"
287,Woman,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=197,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d0d8462a70e5a306856859b2bf692350,Shaughnessy,abstract,1975,"49.238238, -123.132656"
288,Footnotes,Site-integrated work,In place,1300 block of Pacific Blvd.,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=206,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c1bcfba0c4a979e018c0b90c9cdc0e4e,Downtown,"Fifty-seven unpolished black granite tiles are recessed randomly into the sidewalk.  Handcarved into each granite block are words or  texts chosen for their specific reference to the site.  ""The shore is the line between the sea and the land and the shore is the mid-line in the life of the city... beneath these paving stones.""",1994,"49.273312, -123.124754"
290,Password,Site-integrated work,In place,1300 block Of Pacific Boulevard,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=208,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5b0d67b48854d8d4bc3649bd7af4d037,Downtown,Four sets of 4 letters rotate to form random words. The letters are installed in the 3 exhaust vents from the underground parkade and turn with the outflow of the exhaust fans.,1994,"49.273266, -123.125332"
291,Terra Nova,Sculpture,In place,181 Roundhouse Mews,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=215,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e643d8140f4be6b2ac107d94034109f9,Downtown,"Terra Nova has two main parts: a) the Theatre of Discovery, a bronze curtain and hoop attached to the exterior wall of the Roundhouse   b) the Cone of Analysis resting on the plaza walkway below the wall - a large bronze cone which appears to be cut into parts, the nose of the cone is on a cart.",1996,"49.272992, -123.121871"
292,Make West,Site-integrated work,In place,"Nicola Street to Cardero, along Coal Harbour Quay",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=217,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/48d2e3d97f6681918a2afda5803ca312,Downtown,"The piece can be found along the foundation of the building on the waterfront walkway between Nicola and Cardero Streets. It is made of stones, plaques, and objects cast in bronze that refer to the history of the area and act as a puzzle. Recently, the strata council has posted privacy signs in the 3 alcoves - however, the artwork is visible from the sidewalk.",1997,"49.291453, -123.128163"
293,Southlands Salmon Wall,Mural,In place,5351 Camosun Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=221,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ac91582212d5be54768d0903ce4b1098,Dunbar-Southlands,"This mural is a school of painted salmon, each one unique.",1995,"49.237801, -123.197495"
294,subTEXT:Community Signature Project,Site-integrated work,In place,"Grandview Cut, between 8th and Broadway",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=223,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ade35e0ece7d9b21916eb204bab7763b,Grandview-Woodland,Ceramic tiles inscribed with signatures of people set in east sidewalk of bridge.,1996,"49.262759, -123.069599"
295,Ring Gear,Memorial or monument,In place,"Pacific Blvd median, near Cambie Bridge",https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=226,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/786c1bc34132336207e7730dd472a577,Downtown,"The 8m high gear is installed as a monument to commemorate the designers and builders of the many bridges across False Creek.  The gear was part of the second Cambie Bridge (or Connaught Bridge) which opened in 1911 and remained in service until 1984. Installed on the centre pier, the gear supported the steel truss swing span.",1987,"49.27431, -123.116987"
296,Machina Metronoma (Shaughnessy Neighbourhood),Sculpture,In place,37th at Granville,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=227,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6fc6251e8232ac826659a75880cf0093,Shaughnessy,"There are seven sculptures in the Metronoma series, mounted atop the 12-ft high cyclist-activated traffic signal poles. This series of sculptures is located at three intersections along 37th Avenue Ridgeway Greenway at Granville, Cambie, and Fraser Streets. Information about the other pieces can be found at ""Machina Metronoma (South Cambie neighbourhood)"" and  ""Machina Metronoma (Kensington-Cedar Cottage neighbourhood)"".
These pole sculptures are variations of whimsical gizmos with individual iconic objects representing activities such as skating and cycling which happen along the Greenways route.  The sculptures have wind-catching hoods and counterbalanced panels which cause them to move back and forth like a metronome.   Granville Street and 37th Avenue, SW corner:  ""Machina Metronoma:  Even with Modern miniaturized technology, it is still pretty hard to put eighty pounds into a tire"" (icon:  lightweight air pump).   On the NE corner:  ""Machina Metronoma:  All Bicycles Weigh Fifteen Kilograms:  A Five Kilogram Bicycle Needs a Ten Kilogram Lock.  A Ten Kilogram Bicycle Needs a Five Kilogram Lock.  A Fifteen Kilogram Bicycle Doesn't Need a Lock"" (icon:  reinforced bicycle lock).",1997,"49.238059, -123.139622"
